Chidamber-Kemerer metrics,jeu., 20 oct. 2022 17:15:06 HAE
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jfree.chart.axis.QuarterDateFormat,2,3,2,0,17,12
org.jfree.chart.axis.QuarterDateFormatTest,2,1,4,0,16,4
org.jfree.chart.axis.StandardTickUnitSource,4,1,1,0,13,7
org.jfree.chart.axis.StandardTickUnitSourceTest,2,1,2,0,5,2
org.jfree.chart.axis.SubCategoryAxis,17,3,1,0,69,40
org.jfree.chart.axis.SubCategoryAxisTest,7,1,5,0,28,5
org.jfree.chart.axis.SymbolAxis,20,4,2,0,87,69
org.jfree.chart.axis.SymbolAxisTest,3,1,3,0,14,3
org.jfree.chart.axis.Tick,15,1,4,2,11,14
org.jfree.chart.axis.TickType,12,n/a,2,n/a,2,0
org.jfree.chart.axis.TickUnit,15,1,3,2,10,16
org.jfree.chart.axis.TickUnitSource,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.axis.TickUnits,5,1,1,0,22,14
org.jfree.chart.axis.TickUnitsTest,4,1,3,0,13,3
org.jfree.chart.axis.Timeline,n/a,n/a,n/a,n/a,7,n/a
org.jfree.chart.axis.ValueAxis,137,2,7,4,163,163
org.jfree.chart.axis.ValueAxisTest,16,1,4,0,55,4
org.jfree.chart.axis.ValueTick,15,2,2,3,8,9
org.jfree.chart.block.AbstractBlock,30,1,3,6,77,55
org.jfree.chart.block.AbstractBlockTest,5,1,3,0,24,3
org.jfree.chart.block.Arrangement,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.block.Block,n/a,n/a,n/a,n/a,7,n/a
org.jfree.chart.block.BlockBorder,9,1,1,0,31,19
org.jfree.chart.block.BlockBorderTest,4,1,2,0,12,3
org.jfree.chart.block.BlockContainer,25,2,1,1,48,26
org.jfree.chart.block.BlockContainerTest,6,1,3,0,17,3
org.jfree.chart.block.BlockFrame,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.block.BlockParams,3,1,3,0,7,7
org.jfree.chart.block.BlockResult,7,1,1,0,3,3
org.jfree.chart.block.BorderArrangement,12,1,1,0,40,71
org.jfree.chart.block.BorderArrangementTest,11,1,3,0,27,6
org.jfree.chart.block.CenterArrangement,8,1,3,0,33,31
org.jfree.chart.block.ColorBlock,8,2,2,0,31,12
org.jfree.chart.block.ColorBlockTest,3,1,1,0,17,3
org.jfree.chart.block.ColumnArrangement,12,1,3,0,38,42
org.jfree.chart.block.ColumnArrangementTest,4,1,2,0,9,3
org.jfree.chart.block.EmptyBlock,10,2,2,0,16,5
org.jfree.chart.block.EmptyBlockTest,3,1,3,0,13,3
org.jfree.chart.block.EntityBlockParams,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.block.EntityBlockResult,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.block.FlowArrangement,12,1,3,0,40,46
org.jfree.chart.block.FlowArrangementTest,4,1,2,0,9,3
org.jfree.chart.block.GridArrangement,8,1,3,0,38,51
org.jfree.chart.block.GridArrangementTest,9,1,4,0,41,19
org.jfree.chart.block.LabelBlock,19,2,1,0,59,34
org.jfree.chart.block.LabelBlockTest,5,1,1,0,17,3
org.jfree.chart.block.LengthConstraintType,14,n/a,2,n/a,2,0
